rtID,rtCharacter,rtPOS,rtKeyword,rtReading,rtLesson,rtDependencies,rtAlias
1,一,,one,yī,RTH1-L01,,"floor, ceiling"
2,二,,two,èr,RTH1-L01,one,
3,三,,three,sān,RTH1-L01,,
4,四,,four,sì,RTH1-L01,,
5,五,,five,wǔ,RTH1-L01,,
6,六,,six,liù,RTH1-L01,,
7,七,,seven,qī,RTH1-L01,,diced
8,八,,eight,bā,RTH1-L01,,
9,九,,nine,jiǔ,RTH1-L01,,"baseball, baseball team"
10,十,,ten,shí,RTH1-L01,,
11,口,,mouth,kǒu,RTH1-L01,,mouths
12,日,,day,rì,RTH1-L01,,"sun, tongue wagging in the mouth"
13,月,,month,yuè,RTH1-L01,,"moon, flesh, part of  the body"
14,田,,rice field,tián,RTH1-L01,,brains
15,目,,eye,mù,RTH1-L01,,#eyeball
16,古,,ancient,gǔ,RTH1-L02,"ten, mouth",
17,胡,,recklessly,hú,RTH1-L02,"ancient, month",
18,吾,,I (literary),wú,RTH1-L02,"five, mouth",
19,朋,,companion,péng,RTH1-L02,month,
20,明,,bright,míng,RTH1-L02,"day, month",
21,唱,,sing,chàng,RTH1-L02,"mouth, day",
22,晶,,sparkling,jīng,RTH1-L02,day,
23,品,,goods,pǐn,RTH1-L02,mouth,
24,昌,,prosperous,chāng,RTH1-L02,day,
25,早,,early,zǎo,RTH1-L02,"day, ten",sunflower
26,旭,,rising sun,xù,RTH1-L02,"nine, day",
27,世,,generation,shì,RTH1-L02,ten,
28,胃,,stomach,wèi,RTH1-L02,"rice field, month",
29,旦,,daybreak,dàn,RTH1-L02,"day, one",
30,凹,,concave,āo,RTH1-L02,,
31,凸,,convex,tū,RTH1-L02,,
31.b,,,a drop of,,,,eyedropper
31.c,,,walking stick,,,,
32,自,,oneself,zì,RTH1-L03,"a drop of, eye",nostrils
33,白,,white,bái,RTH1-L03,"a drop of, day","white bird, dove"
34,百,,hundred,bǎi,RTH1-L03,"one, white",
35,皂,,soap,zào,RTH1-L03,"day, seven",
36,中,n./adj.,middle,zhōng,RTH1-L03,"walking stick, mouth",
37,千,,thousand,qiān,RTH1-L03,"a drop of, ten",
38,舌,,tongue,shé,RTH1-L03,"thousand, mouth",
39,升,,liter,shēng,RTH1-L03,"thousand, ten",
40,昇,,rise up,shēng,RTH1-L03,"day, liter",
41,丸,,pill,wán,RTH1-L03,"a drop of, nine",bottle of pills
42,卜,,divination,bǔ,RTH1-L03,"a drop of, walking stick","magic wand, divining rod"
43,占,,tell fortunes,zhān,RTH1-L03,"divination, mouth",
44,上,,above,shàng,RTH1-L03,"divination, one",
45,下,,below,xià,RTH1-L03,"divination, one",
46,卡,,card,kǎ,RTH1-L03,"above, below",
47,卓,,eminent,zhuó,RTH1-L03,"divination, day, ten",
47.b,,,mist,,,"early, ten",
48,朝,,dynasty,cháo,RTH1-L03,"mist, month",
49,嘲,v.,ridicule,cháo,RTH1-L03,"mouth, dynasty",
49.b,,,animal legs,,,,
49.c,,,human legs,,,,
49.d,,,wind,,,,
49.e,,,bound up,,,,
49.f,,,horns,,,,
50,只,,only,zhǐ,RTH1-L04,"mouth, animal legs",
51,貝,,shellfish,bèi,RTH1-L04,"eye, animal legs","shells, oysters, clams"
52,貼,v.,paste,tiē,RTH1-L04,"shellfish, tell fortunes",
53,貞,,chaste,zhēn,RTH1-L04,"divination, shellfish",
54,員,,employee,yuán,RTH1-L04,"mouth, shellfish",
55,見,,see,jiàn,RTH1-L04,"shellfish, human legs",
56,元,,beginning,yuán,RTH1-L04,"two, human legs",
57,頁,,page,yè,RTH1-L04,"one, shellfish",#head
58,頑,,stubborn,wán,RTH1-L04,"beginning, page",
59,凡,,ordinary,fán,RTH1-L04,"wind, a drop of",
60,肌,,muscle,jī,RTH1-L04,"month, wind",
61,負,adj.,defeated,fù,RTH1-L04,"bound up, shellfish",
62,勻,adj.,uniform,yún,RTH1-L04,"bound up, two",
63,句,n.,sentence,jù,RTH1-L04,"bound up, mouth",
64,旬,,decameron,xún,RTH1-L04,"bound up, day",
65,勺,,ladle,sháo,RTH1-L04,"bound up, a drop of",
66,的,,bull's eye,de,RTH1-L04,"white, ladle",
67,首,,heads,shǒu,RTH1-L04,"horns, oneself",
68,直,,straight,zhí,RTH1-L05,"ten, eye, one",
69,置,,set up,zhì,RTH1-L05,"eye, straight",
69.b,,,tool,,,"one, animal legs",
70,具,,tool,jù,RTH1-L05,eye,
71,真,,true,zhēn,RTH1-L05,"straight, animal legs",
71.b,,,by ones side,,,,by her side
72,工,n.,work,gōng,RTH1-L05,,I-beam
73,左,n./adj.,left,zuǒ,RTH1-L05,"by ones side, work",
74,右,n./adj.,right,yòu,RTH1-L05,"mouth, by ones side",
75,有,,possess,yǒu,RTH1-L05,"month, by ones side",
76,賄,n.,bribe,huì,RTH1-L05,"shellfish, possess",
77,貢,,tribute,gòng,RTH1-L05,"work, shellfish",
78,項,,item,xiàng,RTH1-L05,"work, page",
79,刀,,sword,dāo,RTH1-L05,,dagger
80,刃,,blade,rèn,RTH1-L05,"a drop of, sword",
81,切,v.,cut,qiē,RTH1-L05,"seven, sword",
82,召,,summon,zhào,RTH1-L05,"sword, mouth",
83,昭,,evident,zhāo,RTH1-L05,"day, summon",
84,則,n.,rule,zé,RTH1-L05,"shellfish, sword",
84.b,,,wealth,,,"one, mouth, rice field",
85,副,,vice-,fù,RTH1-L05,"wealth, sword",
86,丁,,fourth,dīng,RTH1-L05,,spike
87,叮,v.,sting,dīng,RTH1-L05,"mouth, fourth",
88,可,aux. v.,can,kě,RTH1-L05,"fourth, mouth",
89,哥,,older brother,gē,RTH1-L05,can,
90,頂,n.,crest,dǐng,RTH1-L05,"fourth, page",
91,乙,adj.,second,yǐ,RTH1-L06,,fishhook
92,子,,child,zǐ,RTH1-L06,,
93,孔,,cavity,kǒng,RTH1-L06,"child, second",
94,吼,v.,roar,hǒu,RTH1-L06,"mouth, cavity",
95,了,,(-ed),le,RTH1-L06,child,
96,女,,woman,nǚ,RTH1-L06,,women
97,好,,good,hǎo,RTH1-L06,"woman, child",
98,如,,be like,rú,RTH1-L06,"woman, mouth",
99,母,,mother,mǔ,RTH1-L06,"woman, a drop of",
100,貫,,pierce,guàn,RTH1-L06,"mother, shellfish",
101,兄,,elder brother,xiōng,RTH1-L06,"mouth, human legs",teenager
102,克,v.,overcome,kè,RTH1-L06,"ten, elder brother",
103,小,,small,xiǎo,RTH1-L07,,
104,少,,few,shǎo,RTH1-L07,"small, a drop of",
105,吵,,noisy,chǎo,RTH1-L07,"mouth, few",
106,大,,large,dà,RTH1-L07,,St. Bernard dog
107,尖,n.,tip,jiān,RTH1-L07,"small, large",
108,夕,,evening,xī,RTH1-L07,month,
109,多,,many,duō,RTH1-L07,evening,
110,夠,,enough,gòu,RTH1-L07,"many, sentence",
111,外,,outside,wài,RTH1-L07,"evening, divination",
112,名,n.,name,míng,RTH1-L07,"evening, mouth",
112.b,,,cliff,,,,
113,厚,,thick,hòu,RTH1-L07,"cliff, day, child",
114,石,,stone,shí,RTH1-L07,"cliff, mouth","pebble, #rock"
115,砂,,gravel,shā,RTH1-L07,"stone, few",
116,妙,,wonderful,miào,RTH1-L07,"woman, few",
117,肖,,resemble,xiào,RTH1-L07,"small, month",sparks
118,削,v.,peel,xuē,RTH1-L07,"resemble, sword",
119,光,,ray,guāng,RTH1-L07,"small, human legs",
120,太,,overly,tài,RTH1-L07,"large, a drop of",
121,省,,economize,shěng,RTH1-L07,"few, eye",
122,奇,,strange,qí,RTH1-L07,"large, can",
123,川,n.,stream,chuān,RTH1-L08,,flood
124,州,n.,state,zhōu,RTH1-L08,"a drop of, stream",
125,順,,obey,shùn,RTH1-L08,"stream, page",snowflake
126,水,n.,water,shuǐ,RTH1-L08,"walking stick, a drop of",
127,永,,eternity,yǒng,RTH1-L08,"a drop of, water",
128,求,v.,request,qiú,RTH1-L08,"one, a drop of, water",
